family,analysis_condition,severity_index,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,feature_group,n_features,n_zero_reference_sd,n_zero_drift_denominator,n_infinite_feature_drifts,max_epsilon_x,mean_drift_reference_sd,endpoint_ba_mean,endpoint_ba_sd
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,time_domain,11,1,0,0,0.0029917410041680336,66.97517770014102,0.61,0.2727411870290969
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,frame_energy,8,2,0,0,0.00011432056513526511,82585902190.86905,0.61,0.2727411870290969
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,band_ratios,8,3,3,0,7.213711738586425e-07,0.811595722248788,0.61,0.2727411870290969
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,local_transient,4,1,0,0,4.050676797735933e-05,16620948028.431988,0.61,0.2727411870290969
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,logmel,80,0,0,0,2.017592430114746e-05,100.9084758240984,0.6,0.335029697130245
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.6,0.335029697130245
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,mfcc,26,0,0,0,0.0001242907485961914,18.531365974013653,0.6,0.335029697130245
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,time_domain,11,1,0,0,0.0029917410041680336,336.52194698259297,0.6,0.335029697130245
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,frame_energy,8,2,0,0,0.00011432056513526511,2763998504921.649,0.6,0.335029697130245
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,band_ratios,8,3,3,0,7.213711738586425e-07,0.9438483698644731,0.6,0.335029697130245
location,30m_15db,6,environment,30m_15db,30.0,15.0,True,,local_transient,4,1,0,0,4.050676797735933e-05,556737669835.8009,0.6,0.335029697130245
location,30m_5db,7,environment,30m_5db,30.0,5.0,True,,logmel,80,0,0,0,2.017592430114746e-05,115.21857213199658,0.65,0.23145502494313785
