instrument,analysis_condition,family,ablation_protocol,ablated_or_included_group,feature_set,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds,baseline_full_endpoint_ba,endpoint_ba_delta_from_full
traditional_181d,10m_15db,decay,logo,frame_energy,without_frame_energy,25,173,feat_logmel_39_std,0.6471832459560073,0,0.67,0.27866298861615946,50,0.67,0.0
traditional_181d,10m_15db,decay,logo,band_ratios,without_band_ratios,25,173,feat_logmel_39_std,0.6471832459560073,0,0.67,0.27866298861615946,50,0.67,0.0
traditional_181d,10m_15db,decay,logo,local_transient,without_local_transient,25,177,feat_logmel_39_std,0.6471832459560073,0,0.67,0.27866298861615946,50,0.67,0.0
traditional_181d,10m_15db,decay,sgi,logmel,only_logmel,25,80,feat_logmel_39_std,0.6471832459560073,0,0.72,0.2507132682112035,50,0.67,0.04999999999999993
traditional_181d,10m_15db,decay,sgi,spectral_stats,only_spectral_stats,25,44,feat_10ms_spectral_centroid_p90,-0.34908672054596757,0,0.51,0.2943342539719502,50,0.67,-0.16000000000000003
traditional_181d,10m_15db,decay,sgi,mfcc,only_mfcc,25,26,feat_mfcc_00_mean,-0.35693136595149494,0,0.53,0.27497680792743084,50,0.67,-0.14
traditional_181d,10m_15db,decay,sgi,time_domain,only_time_domain,25,11,feat_rms,-0.3294751070321492,0,0.8,0.24743582965269675,50,0.67,0.13
traditional_181d,10m_15db,decay,sgi,frame_energy,only_frame_energy,25,8,feat_10ms_frame_energy_p10,-0.368698334059786,0,0.71,0.24928469095164493,50,0.67,0.039999999999999925
traditional_181d,10m_15db,decay,sgi,band_ratios,only_band_ratios,25,8,feat_band_8000_plus_ratio,-0.23533936216582085,0,0.61,0.30788945803217577,50,0.67,-0.06000000000000005
traditional_181d,10m_15db,decay,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_p10,-0.3961545929791317,0,0.73,0.25172871695294424,50,0.67,0.05999999999999994
traditional_181d,10m_15db,sharpness,logo,logmel,without_logmel,25,101,feat_mfcc_01_mean,-0.5805037600090248,0,0.59,0.2612763022595983,50,0.68,-0.09000000000000008
traditional_181d,10m_15db,sharpness,logo,spectral_stats,without_spectral_stats,25,137,feat_logmel_03_std,-0.6667948594698256,0,0.64,0.2864276807966203,50,0.68,-0.040000000000000036
traditional_181d,10m_15db,sharpness,logo,mfcc,without_mfcc,25,155,feat_logmel_03_std,-0.6667948594698256,0,0.69,0.3011881234615431,50,0.68,0.009999999999999898
traditional_181d,10m_15db,sharpness,logo,time_domain,without_time_domain,25,170,feat_logmel_03_std,-0.6667948594698256,0,0.78,0.2507132682112035,50,0.68,0.09999999999999998
traditional_181d,10m_15db,sharpness,logo,frame_energy,without_frame_energy,25,173,feat_logmel_03_std,-0.6667948594698256,0,0.68,0.298977850520805,50,0.68,0.0
traditional_181d,10m_15db,sharpness,logo,band_ratios,without_band_ratios,25,173,feat_logmel_03_std,-0.6667948594698256,0,0.68,0.298977850520805,50,0.68,0.0
traditional_181d,10m_15db,sharpness,logo,local_transient,without_local_transient,25,177,feat_logmel_03_std,-0.6667948594698256,0,0.68,0.298977850520805,50,0.68,0.0
traditional_181d,10m_15db,sharpness,sgi,logmel,only_logmel,25,80,feat_logmel_03_std,-0.6667948594698256,0,0.88,0.21570955529345,50,0.68,0.19999999999999996
traditional_181d,10m_15db,sharpness,sgi,spectral_stats,only_spectral_stats,25,44,feat_10ms_spectral_centroid_std,0.3922322702763681,0,0.64,0.22677868380553634,50,0.68,-0.040000000000000036
traditional_181d,10m_15db,sharpness,sgi,mfcc,only_mfcc,25,26,feat_mfcc_01_mean,-0.5805037600090248,0,0.75,0.2525381361380527,50,0.68,0.06999999999999995
traditional_181d,10m_15db,sharpness,sgi,time_domain,only_time_domain,25,11,feat_attack_slope,0.38438762487084066,0,0.52,0.2249716535431946,50,0.68,-0.16000000000000003
traditional_181d,10m_15db,sharpness,sgi,frame_energy,only_frame_energy,25,8,feat_frame_energy_p90,0.4196885291957138,0,0.72,0.2507132682112035,50,0.68,0.039999999999999925
traditional_181d,10m_15db,sharpness,sgi,band_ratios,only_band_ratios,25,8,feat_band_4000_8000_ratio,0.14904826270501986,0,0.25,0.2525381361380527,50,0.68,-0.43000000000000005
traditional_181d,10m_15db,sharpness,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_p90,0.380465302168077,0,0.7,0.2857142857142857,50,0.68,0.019999999999999907
m2d_2304d,reference,intensity,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_std_0010,0.9805806756909201,195,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,intensity,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_mean_0013,0.9805806756909201,283,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,intensity,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_mean_0013,0.9805806756909201,330,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,intensity,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0013,0.9805806756909201,209,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,intensity,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0010,0.9805806756909201,121,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,intensity,pooling_sgi,max,only_max,25,768,feat_m2d_40ms_last_max_0089,0.9805806756909201,74,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,location,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_max_0265,0.9570467394743379,27,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,location,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_mean_0112,0.9570467394743379,44,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,location,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_mean_0112,0.9570467394743379,47,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,location,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0112,0.9570467394743379,32,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,location,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0258,0.9492020940688107,15,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,location,pooling_sgi,max,only_max,25,768,feat_m2d_40ms_last_max_0265,0.9570467394743379,12,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,decay,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_std_0204,-0.9805806756909201,172,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,decay,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_mean_0012,-0.9805806756909201,358,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,decay,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_mean_0012,-0.9805806756909201,396,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,decay,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0012,-0.9805806756909201,291,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,decay,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0204,-0.9805806756909201,105,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,decay,pooling_sgi,max,only_max,25,768,feat_m2d_40ms_last_max_0077,0.9805806756909201,67,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,sharpness,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_std_0681,-0.9805806756909201,103,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,sharpness,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_mean_0373,-0.9805806756909201,139,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,sharpness,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_mean_0373,-0.9805806756909201,166,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,sharpness,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0373,-0.9805806756909201,101,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,sharpness,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0681,-0.9805806756909201,65,1.0,0.0,50,1.0,0.0
m2d_2304d,reference,sharpness,pooling_sgi,max,only_max,25,768,feat_m2d_40ms_last_max_0373,-0.9727360302853928,38,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,intensity,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_max_0573,0.9609690621771018,23,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,intensity,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_mean_0000,-0.9609690621771018,46,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,intensity,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_mean_0000,-0.9609690621771018,39,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,intensity,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0000,-0.9609690621771018,31,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,intensity,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0566,-0.9413574486632834,8,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,intensity,pooling_sgi,max,only_max,25,768,feat_m2d_40ms_last_max_0573,0.9609690621771018,15,1.0,0.0,50,1.0,0.0
m2d_2304d,10m_15db,location,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_std_0646,0.7256297000112809,0,0.49,0.2943342539719502,50,0.35,0.14
m2d_2304d,10m_15db,location,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_mean_0577,0.5648144691979701,0,0.46,0.3168724716116976,50,0.35,0.11000000000000004
m2d_2304d,10m_15db,location,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_std_0646,0.7256297000112809,0,0.37,0.31638906557643004,50,0.35,0.020000000000000018
m2d_2304d,10m_15db,location,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0577,0.5648144691979701,0,0.43,0.28589280137413575,50,0.35,0.08000000000000002
m2d_2304d,10m_15db,location,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0646,0.7256297000112809,0,0.5,0.2672612419124244,50,0.35,0.15000000000000002
m2d_2304d,10m_15db,location,pooling_sgi,max,only_max,25,768,feat_m2d_40ms_last_max_0351,-0.5373582102786243,0,0.54,0.33258419219493757,50,0.35,0.19000000000000006
m2d_2304d,10m_15db,decay,pooling_logo,mean,without_mean,25,1536,feat_m2d_40ms_last_std_0467,0.7177850546057536,0,0.83,0.27866298861615946,50,0.84,-0.010000000000000009
m2d_2304d,10m_15db,decay,pooling_logo,std,without_std,25,1536,feat_m2d_40ms_last_max_0142,-0.651105568658771,0,0.78,0.2507132682112035,50,0.84,-0.05999999999999994
m2d_2304d,10m_15db,decay,pooling_logo,max,without_max,25,1536,feat_m2d_40ms_last_std_0467,0.7177850546057536,0,0.85,0.23145502494313788,50,0.84,0.010000000000000009
m2d_2304d,10m_15db,decay,pooling_sgi,mean,only_mean,25,768,feat_m2d_40ms_last_mean_0314,-0.6001153735228432,0,0.63,0.26360917267494194,50,0.84,-0.20999999999999996
m2d_2304d,10m_15db,decay,pooling_sgi,std,only_std,25,768,feat_m2d_40ms_last_std_0467,0.7177850546057536,0,0.86,0.26802375770419595,50,0.84,0.020000000000000018
