sample_id,status,action,reason,published_path,archive_path
F_075,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_075,dataset_rejected\flyball_v2_20260727\batch_01\F_075
F_076,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_076,dataset_rejected\flyball_v2_20260727\batch_01\F_076
F_077,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_077,dataset_rejected\flyball_v2_20260727\batch_01\F_077
F_079,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_079,dataset_rejected\flyball_v2_20260727\batch_01\F_079
F_080,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_080,dataset_rejected\flyball_v2_20260727\batch_01\F_080
F_081,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_081,dataset_rejected\flyball_v2_20260727\batch_01\F_081
F_082,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_082,dataset_rejected\flyball_v2_20260727\batch_01\F_082
F_083,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_083,dataset_rejected\flyball_v2_20260727\batch_01\F_083
F_084,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_084,dataset_rejected\flyball_v2_20260727\batch_01\F_084
F_085,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_085,dataset_rejected\flyball_v2_20260727\batch_01\F_085
F_086,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_086,dataset_rejected\flyball_v2_20260727\batch_01\F_086
F_087,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_087,dataset_rejected\flyball_v2_20260727\batch_01\F_087
F_088,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_088,dataset_rejected\flyball_v2_20260727\batch_01\F_088
F_090,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_090,dataset_rejected\flyball_v2_20260727\batch_01\F_090
F_091,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_091,dataset_rejected\flyball_v2_20260727\batch_01\F_091
F_092,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_092,dataset_rejected\flyball_v2_20260727\batch_01\F_092
F_093,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_093,dataset_rejected\flyball_v2_20260727\batch_01\F_093
F_094,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_094,dataset_rejected\flyball_v2_20260727\batch_01\F_094
F_095,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_095,dataset_rejected\flyball_v2_20260727\batch_01\F_095
F_096,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_096,dataset_rejected\flyball_v2_20260727\batch_01\F_096
F_097,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_097,dataset_rejected\flyball_v2_20260727\batch_01\F_097
F_098,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_098,dataset_rejected\flyball_v2_20260727\batch_01\F_098
F_099,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_099,dataset_rejected\flyball_v2_20260727\batch_01\F_099
F_100,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_100,dataset_rejected\flyball_v2_20260727\batch_01\F_100
F_101,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_101,dataset_rejected\flyball_v2_20260727\batch_01\F_101
F_102,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_102,dataset_rejected\flyball_v2_20260727\batch_01\F_102
